"name","time","feature","image"
"シャクナゲ","4月〜5月","重厚で派手さのある花姿と淡く柔らかい色合いの組み合わせが印象的で、亜熱帯から熱帯まで、地球上の極めて広い範囲に分布しているシャクナゲ。美しく豪快な花を咲かせることから「威厳」や「荘厳」、また葉に毒を持つことから「危険」という花言葉を持っています。シャクナゲは全国の寺の境内に名所があることも特徴の一つ。女人高野として信仰を集める室生寺には約3000株のシャクナゲが植えられており、春には国宝指定の五重塔も鮮やかに彩られています。また、弘法大師が開山したといわれる高野寺には約20種1000株が植えられ、雨天時も鑑賞できる空中回廊からの景色も必見です。歴史情緒あふれる空間でのお花見をしたい方におすすめです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/95/f3cef957-a3df-40b3-bf61-109e151a79f2.png"
"ネモフィラ","4月〜5月","「可憐」「どこでも成功」などの花言葉をもち、瑠璃色の花で丘一面をブルーで埋め尽くすネモフィラ。空のブルーと溶け合い境界線が消え、まるで夢の中のような世界へと人々を誘います。青い花の絨毯無数の花が織りなす絶景は、日本だけでなく海外からも注目される人気スポット。見頃は4月中旬から5月の中旬で、園内でサイクリングロードや遊園地も併設されているところでは、家族連れでもデートでも一日中楽しめそうです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/25/43ccd7cd-b72a-4c37-a689-f1731b426912.jpg"
"牡丹","4月〜5月","薄い花びらが重なり、鞠状になっている花姿の上品さゆえ、「風格」や「富貴」などの花言葉をもつボタン。その堂々とした佇まいから「美しい女性が座っているよう」と形容されています。見頃は4月下旬から5月上旬で、古代中国を思わせる絢爛な咲きぶりはあの空海も浄土を感じたと伝られています。ボタンはお寺に多く咲いており、名所は全国に点在。気分を落ち着かせて落ち着いてお花を観賞したい方におすすめです。ボタンのパワーで、澄んだ心を持った素敵な人になりましょう。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/27/5976bfdd-80de-4a99-b6f1-60a25ce983b6.jpg"
"シャクヤク","5月〜6月","「立てば芍薬座れば牡丹歩く姿は百合の花」と言われるように、美しい女性を象徴するとして知られる花の一つ。中でもシャクヤクは、長く伸びた茎の先に花を咲かせ、すらっとした女性を思わせるところから、『はにかみ』『はじらい』という花言葉がつけられています。フランスではしなやかで爽やかな香りのするワインを、「芍薬のような香り」とも言う程、高貴な香りがするのも魅力の一つ。また、一重や八重咲き、雄しべが花弁化した翁咲きなど花形も豊富です。見頃は4月から6月で、大ぶりな花が見ごたえのある風景を演出します。シャクヤクは有名な寺にあることも多く、歴史情緒あふれる中で落ち着いて鑑賞したい方におすすめです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/88/6c8aadfc-ab1d-4df6-a6ce-b66c0f9f1f4b.jpg"
"藤","4月〜5月","藤は「優しさ」を花言葉にもち、古くから女性の振袖姿に喩えられてきました。藤独特の優しい色味で日々の疲れた目を癒してくれます。新緑に咲く薄紫やピンクの花々のトンネルは圧巻で、是非一度は足を運んで欲しい場所。また「実在する世界の美しい場所10」に選ばれるなど藤の名所は日本だけでなく世界からも高い評価を受けています。また、夜になるとライトアップされる名所も多くあり、まるで別世界にいるような幻想的な絶景が広がります。さらに、見頃に合わせて各地で行われる藤祭りも見所の一つ。藤ソフトクリームなどご当地ならではのものを味わうのもいいですね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/19/aeb05c0e-91f2-469c-a3e2-a5a6b5cf850f.jpg"
"水芭蕉","6月","「美しい思い出」を花言葉にもち、水辺に春の訪れを告げるミズバショウ。見頃は4月中旬から6月中頃で、真っ白な仏炎苞(ぶつえんほう)が小沼を彩り、力強く咲く姿からは自然のパワーがもらえます。また水辺には珍しい動物がいることも。湖沼の周辺の散策はもちろん、湖でのカヌーを始めとするアクティビティも一緒に楽しめるのも他にはない魅力です。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/24/86037f02-84b8-462a-9707-0e5f2af52dad.jpg"
"サルビア","6月〜11月","様々な色の花を持ち、他の花の魅力を一層引き立ててくれるサルビア。中でも一年草のスプレンデンスが一面に咲き誇り、織りなすのは真っ赤な絨毯。花言葉に「尊敬」「知恵」「良い家庭」「家族愛」を持つように、真っ赤な花から燃えるような情熱や愛のパワーがもらえます。サルビアの名所は、場所によってはそこまで混雑しておらず、穴場で絶景がみれます。見頃は8月から11月上旬で、長い間咲いているのも嬉しいポイント。季節によって違った花とのコラボレーションも生まれ、それぞれの季節で違った楽しみ方をするのもいいですね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/52/e09da03e-35e8-41f3-9137-05dbfc5fd3a1.jpg"
"ラベンダー","4月〜7月","爽やかな香りを放ち、可憐な花を咲かせるラベンダー。一面にしきつめられたラベンダーが創り出す紫色の絨毯は圧巻です。中にはラベンダーの摘み取り体験ができるところもあるそうで、夢のようですね。ラベンダーが見ごろを迎えるのは7月中旬と夏の暑い時期ですが、ラベンダー畑は比較的高度の高い位置にあることが多く、比較的気温も低く、気持ちよくお出かけできそうです。また、さっぱりした味わいが人気なラベンダーソフトもおすすめ。いつもと違う、新しい夏の楽しみ方を見つけられそうです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/33/1b9b279b-da33-4c50-a143-8e4fddd96391.jpg"
"ポピー","5月〜6月","ギリシャ神話に由来して、「いたわり」という花言葉を持つポピー。ひらひらと舞う花びらが雄大な敷地で一面に可愛らしく咲き誇り、青い空とのコントラストは圧巻です。広大な敷地の中では、散策のほか、アウトドアアクティビティが体験できるスポットが多くあります。またポピーの摘み取り体験のできるお花祭りなど、お花見イベント情報は必見です。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/22/d011004b-d8e9-4c52-a751-b1434b7399f1.jpg"
"アジサイ","6月〜9月","爽やかな梅雨の花で、咲き始めてから徐々に色が変化していく様子から、花言葉は「移り気」、別名は「七変化」や「八変化」と呼ばれています。次々と色が変化する要因は土壌の酸性度で、酸性なら青、アルカリ性なら赤になると言われています。開花時期は6月上旬から6月下旬で、開花時期に合わせて自然の恵みへの感謝をアジサイに込めて神前に奉献する「アジサイ祭り」が行われる名所も。古くから親しまれているお寺に咲いていることも多く、門をくぐった途端から石段の両脇に咲き誇る姿は圧巻。情緒あふれるお花見を楽しむことができそうです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/28/be17f85f-9f19-4c3d-8b14-f7d8fcb568f3.jpg"
"クリンソウ","4月〜6月","多年草であるクリンソウは寒さに強く暑さに弱いため、山間部の水辺に自生していることが多く、葉の中から伸ばした花茎に何段にも花をつけ、下から順に咲き上がります。幾重にも重なって咲く様子が、寺院の塔に立つ九輪を思わせることからクリンソウと呼ばれています。見頃は5月中旬から6月にかけてで、赤、白、ピンク色の花々が一面に絨毯のように咲き誇ります。全国のクリンソウ畑では歩道の周りを囲うようにクリンソウが植えられていて、まるで絵本の中に迷い込んだ気分になれる幻想的な世界がみられます。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/53/0b4a8ada-1028-41e1-8250-2e42d495bbf9.jpg"
"百合","5月〜7月","純潔さと妖艶さを併せ持つユリ。キリスト教において、聖母マリアに捧げられた花と言われており、花言葉は「純潔」。また、葉や球根がたくさん寄り重なっているところが「百合」の語源になったとも言われます。花期は5月～8月で、白やピンク、黄色などの香りの強い大ぶりの花を咲かせます。さらに、全国にはユリに関連したスポットが目白押し。例えばユリばたけの中を走り抜ける「ユリトレイン」や、涼しい風を受けながら空中散歩が楽しめる「ユリペアリフト」など。また、中には「ユリ根の天ぷら」や「ユリソフトクリーム」といったユリを使った食事を楽しめるのも魅力の一つ。五感でユリを堪能する、新しいお花見に出かけましょう！","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/30/b6096df0-0ba5-43a2-ac86-844cfc890d7d.jpg"
"菖蒲","6月〜7月","梅雨から初夏にかけて見頃を迎える菖蒲。花言葉の「優雅」を象徴するように垂れ下がるように咲く姿はまるで絵画のよう。白・紫など上品な色味が特徴です。見頃は梅雨ですので、雨が降ってもよく映えます。中でも代表的なハナショウブは、色が多様で、紫や紅紫の花を咲かせます。関東には一箇所で150万株が一斉に咲く名所もあり、その姿は圧巻です。梅雨の時期は家に引きこもりがちになりますが、この時期しか見れない菖蒲を見にお出かけするのもいいですね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/18/b6a437ba-ea65-4642-81f4-615474cc9002.jpg"
"ハス","7月〜9月","ハスは地中に根を下ろし、そこから茎を伸ばして水面に花を咲かせる植物です。泥の中から生まれ出る水生植物で、美しい花を咲かせることから、花言葉は「清らかな心」で、中国や日本で「ハスは泥より出でて、泥に染まらず」と言われ、たくましい花としてよく知られています。古くからあるお寺の優美な建築と、明るい庭園の蓮池の調和は圧巻で、まるで極楽浄土を思わせる幻想的な世界が広がります。また、夜になると蓮池がライトアップされる名所も。歴史的な雰囲気と現代アートとの融合は思わず息をのんで見入ってしまいます。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/29/2a8cae87-2035-42f8-929c-6d3b216eb930.jpg"
"ひまわり","7月〜9月","エネルギーに満ち溢れた大地の太陽が浮かぶ青空と黄色いひまわりが作り出す原色風景は夏の風物詩。背丈を越すほどのひまわり畑では、思わず童心に帰ってしまいますね。ひまわりは、太陽の方向を追うようにして動く習性があるため「私はあなただけを見ている」という花言葉を持ちます。開花時期は8月中旬から9月上旬ですが場所によっては10月に見頃を迎える名所も。全国各地にはまるで海外にいるかのような一面にひまわりを見渡せるスポットが目白押し。贅沢に夏を感じられるのはもちろん、写真映えもする景色に巡り合えそうです。まるで迷路のようなひまわり畑へ、足を伸ばしてみませんか？","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/32/6b25e336-0343-447f-8489-249c617bbaba.jpg"
"ダリア","9月〜10月","3万を超える園芸品種が作られていると言われ、豊富な花形と色彩、様々な大きさの華麗な花が魅力的。ダリアは花言葉に「華麗」「優雅」「気品」「移り気」「不安定」を持ち、一括りにダリアといっても異なる花姿を持っているのが特徴です。一つ一つじっくりみているとあっという間に時間が経ってしまいそうです。中には手のひら程の大きな花を咲かせるダリアの名所も。青々とした富士山とまるで絵画のように鮮やかなダリアのコントラストに思わずうっとりするような絶景も。花を使ったクラフト教室な開花時期に合わせて行われるイベントも要チェックです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/90/9b6a7190-2c65-4a66-aee7-80ab1e7e8042.png"
"ニッコウキスゲ","6月〜8月","涼しげな風に乗せて夏の訪れを告げる山吹色の絨毯を創り出すニッコウキスゲ。雄大な草原一帯に咲き誇るニッコウキスゲはまさに圧巻の一言。そんなニッコウキスゲは「日々あらたに」「心やすらぐ人」「夏美人」という花言葉を持ち、可憐な花が癒しをもたらしてくれます。開花時期は6月上旬から8月上旬で、朝から夕方まで咲く1日花です。黄色の花々が一面に広がる絶景は、日本百景にも選ばれ、開花シーズンになるとガイド付きバスツアーも開催される場所も。真っ青な空とのコントラストが美しく、涼しさをもたらしてくれるニッコウキスゲと夏のひと時を過ごしてみてはいかがですか？","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/34/37278de0-8a22-43a3-afb0-627d133f075f.jpg"
"ベニバナ","5月〜7月","ベニバナは黄色い花を咲かせ、生長につれて赤く変化してゆきます。また、ベニバナから抽出した天然色素が口紅や染料に使われたことから「化粧」「装い」という花言葉を持ちます。見頃は5月から7月で、シーズンにはべに花まつりが開催され、農産物の販売や熱気球の試乗会が開かれます。さらに、黄色やオレンジ、赤のべに花の摘み取り体験ができる名所もあります。独特の花の姿から、切り花やドライフラワーにして、自分好みの姿にアレンジしても楽しめます。色が変化してして行くベニバナとともに夏の訪れを感じてみませんか？","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/92/de0b8cf0-06b6-4ae3-acfd-1abe2dc6c943.png"
"百日草","5月〜11月","開花時期が長く、不老長寿の花として知られ、夏から秋まで楽しめるのが魅力。時間が過ぎていくことに従って会えない人を思うようになる心境が重ねられ、花言葉は「不在の友を思う」とされています。原産国はメキシコで、のちに欧米諸国では品種改良が重ねられ、今や日本国内でも赤、白、オレンジ、ピンクや黄色などの花々が咲き、100万本もの鮮やかな花が咲くお花畑が人気スポットとなっています。中にはお花を摘み取って家に持ち帰ることができるスポットも。一面に広がるお花畑で童心に返って、夏の思い出づくりをしてみてはいかがでしょうか？","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/93/7767e14a-0acb-4776-9e06-ee1d711f6654.png"
"ペチュニア","3月〜11月","見頃を迎えたペチュニアが視界一面を鮮やかで濃いピンクに染める景色は圧巻。国内最大規模の花畑では谷の斜面に約２万株もの花を咲かせます。見頃は6月から9月にかけての3か月間で、梅雨入り後から真夏は勢いが衰えますが、秋には再び見頃を迎え、黄色やオレンジ色のコスモスとのコントラストが楽しめます。また中には牧場と隣接し、動物とのふれあいや旬の味覚狩り体験などができたり、ピンクをモチーフにしたスイーツが味わえるお花畑も。また、日差しが弱くなる頃は花の色が濃くなり一層映えます。暑い日には夕方近く、西日に変わり程良く風が吹く頃にヒグラシの鳴き声と共に、涼しげな夏を感じにお出かけしてみてはいかがですか？","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/94/b750bd67-a5c4-47f8-9591-8b1bf4d28021.png"
"キキョウ","6月〜10月","日本の山野に自生し、古くから馴染みのあるキキョウ。キキョウは、恋人をひたすら待ち続けた若い娘を象徴する花とされることから、「永遠の愛」や「誠実」といった花言葉を持ちます。風船のようなつぼみを付けることからバルーンフラワーとも呼ばれ、紫色で星形の花を咲かせます。そこから「桔梗紋」と呼ばれる家紋が生まれ、この家紋を使っていた代表格が明智光秀だと言われています。秋の七草のひとつとして秋の花のイメージが強いですが、開花時期は、6月中旬から9月頃です。近年では自生株が減少し、絶滅が危惧されていますが、園芸種は紫、ピンク、白、一重咲き、八重咲きなど多種多様な花を咲かせています。キキョウの名所は有名な寺にあることが多く、歴史情緒あふれる中で落ち着いて鑑賞したい方におすすめです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/91/9a990144-e311-43a7-85ff-fee6d323d017.png"
